category,code,name_lt,price_eur,search_aliases_lt,wide_format_coverage,wide_format_label_lt,active,notes_lt
Kopijavimas ir spausdinimas,10,"A4 nespalvota kopija, vienpusis, 1–100",0.15,,,,taip,
Kopijavimas ir spausdinimas,11,"A4 nespalvota kopija, vienpusis, 101–500",0.1,,,,taip,
Kopijavimas ir spausdinimas,12,"A4 nespalvota kopija, vienpusis, 501–1000",0.08,,,,taip,
Kopijavimas ir spausdinimas,13,"A4 nespalvota kopija, vienpusis, 1001+",0.07,,,,taip,
Kopijavimas ir spausdinimas,20,"A4 nespalvota kopija, dvipusis, 1–100",0.25,,,,taip,
Kopijavimas ir spausdinimas,21,"A4 nespalvota kopija, dvipusis, 101–500",0.2,,,,taip,
Kopijavimas ir spausdinimas,22,"A4 nespalvota kopija, dvipusis, 501–1000",0.15,,,,taip,
Kopijavimas ir spausdinimas,23,"A4 nespalvota kopija, dvipusis, 1001+",0.12,,,,taip,
Kopijavimas ir spausdinimas,30,"A3 nespalvota kopija, vienpusis, 1–100",0.3,,,,taip,
Kopijavimas ir spausdinimas,31,"A3 nespalvota kopija, vienpusis, 101–500",0.25,,,,taip,
Kopijavimas ir spausdinimas,32,"A3 nespalvota kopija, vienpusis, 501–1000",0.2,,,,taip,
Kopijavimas ir spausdinimas,33,"A3 nespalvota kopija, vienpusis, 1001+",0.15,,,,taip,
Kopijavimas ir spausdinimas,40,"A3 nespalvota kopija, dvipusis, 1–100",0.5,,,,taip,
Kopijavimas ir spausdinimas,41,"A3 nespalvota kopija, dvipusis, 101–500",0.45,,,,taip,
Kopijavimas ir spausdinimas,42,"A3 nespalvota kopija, dvipusis, 501–1000",0.4,,,,taip,
Kopijavimas ir spausdinimas,43,"A3 nespalvota kopija, dvipusis, 1001+",0.25,,,,taip,
Kopijavimas ir spausdinimas,50,"A4 nespalvota kopija nuo stiklo, vienpusis",0.3,,,,taip,
Kopijavimas ir spausdinimas,51,"A4 nespalvota kopija nuo stiklo, dvipusis",0.5,,,,taip,
Kopijavimas ir spausdinimas,52,"A3 nespalvota kopija nuo stiklo, vienpusis",0.4,,,,taip,
Kopijavimas ir spausdinimas,53,"A3 nespalvota kopija nuo stiklo, dvipusis",0.6,,,,taip,
Kopijavimas ir spausdinimas,70,"Savitarna: A4 nespalvotas spausdinimas, vienpusis",0.13,,,,taip,
Kopijavimas ir spausdinimas,71,"Savitarna: A4 nespalvotas kopijavimas, vienpusis",0.13,,,,taip,
Kopijavimas ir spausdinimas,72,"Savitarna: A3 nespalvotas spausdinimas, vienpusis",0.25,,,,taip,
Kopijavimas ir spausdinimas,73,"Savitarna: A3 nespalvotas kopijavimas, vienpusis",0.25,,,,taip,
Kopijavimas ir spausdinimas,74,"Savitarna: A4 nespalvotas spausdinimas, dvipusis",0.25,,,,taip,
Kopijavimas ir spausdinimas,75,"Savitarna: A4 nespalvotas kopijavimas, dvipusis",0.25,,,,taip,
Kopijavimas ir spausdinimas,76,"Savitarna: A3 nespalvotas spausdinimas, dvipusis",0.45,,,,taip,
Kopijavimas ir spausdinimas,77,"Savitarna: A3 nespalvotas kopijavimas, dvipusis",0.45,,,,taip,
Kopijavimas ir spausdinimas,110,"A4 nespalvota spausdinimas, vienpusis, 1–100",0.15,,,,taip,
Kopijavimas ir spausdinimas,111,"A4 nespalvota spausdinimas, vienpusis, 101–500",0.1,,,,taip,
Kopijavimas ir spausdinimas,112,"A4 nespalvota spausdinimas, vienpusis, 501–1000",0.08,,,,taip,
Kopijavimas ir spausdinimas,113,"A4 nespalvota spausdinimas, vienpusis, 1001+",0.07,,,,taip,
Kopijavimas ir spausdinimas,120,"A4 nespalvota spausdinimas, dvipusis, 1–100",0.25,,,,taip,
Kopijavimas ir spausdinimas,121,"A4 nespalvota spausdinimas, dvipusis, 101–500",0.2,,,,taip,
Kopijavimas ir spausdinimas,122,"A4 nespalvota spausdinimas, dvipusis, 501–1000",0.15,,,,taip,
Kopijavimas ir spausdinimas,123,"A4 nespalvota spausdinimas, dvipusis, 1001+",0.12,,,,taip,
Kopijavimas ir spausdinimas,130,"A3 nespalvota spausdinimas, vienpusis, 1–100",0.3,,,,taip,
Kopijavimas ir spausdinimas,131,"A3 nespalvota spausdinimas, vienpusis, 101–500",0.25,,,,taip,
Kopijavimas ir spausdinimas,132,"A3 nespalvota spausdinimas, vienpusis, 501–1000",0.2,,,,taip,
Kopijavimas ir spausdinimas,133,"A3 nespalvota spausdinimas, vienpusis, 1001+",0.15,,,,taip,
Kopijavimas ir spausdinimas,140,"A3 nespalvota spausdinimas, dvipusis, 1–100",0.5,,,,taip,
Kopijavimas ir spausdinimas,141,"A3 nespalvota spausdinimas, dvipusis, 101–500",0.45,,,,taip,
Kopijavimas ir spausdinimas,142,"A3 nespalvota spausdinimas, dvipusis, 501–1000",0.4,,,,taip,
Kopijavimas ir spausdinimas,143,"A3 nespalvota spausdinimas, dvipusis, 1001+",0.25,,,,taip,
Kopijavimas ir spausdinimas,163,Kopija,3,,,,taip,
Kopijavimas ir spausdinimas,310,"A4 nespalvota INEO spausdinimas, vienpusis, 1–100",0.15,,,,taip,
Kopijavimas ir spausdinimas,311,"A4 nespalvota INEO spausdinimas, vienpusis, 101–500",0.1,,,,taip,
Kopijavimas ir spausdinimas,312,"A4 nespalvota INEO spausdinimas, vienpusis, 501–1000",0.08,,,,taip,
Kopijavimas ir spausdinimas,313,"A4 nespalvota INEO spausdinimas, vienpusis, 1001+",0.07,,,,taip,
Kopijavimas ir spausdinimas,320,"A4 nespalvota INEO spausdinimas, dvipusis, 1–100",0.25,,,,taip,
Kopijavimas ir spausdinimas,321,"A4 nespalvota INEO spausdinimas, dvipusis, 101–500",0.2,,,,taip,
Kopijavimas ir spausdinimas,322,"A4 nespalvota INEO spausdinimas, dvipusis, 501–1000",0.15,,,,taip,
Kopijavimas ir spausdinimas,323,"A4 nespalvota INEO spausdinimas, dvipusis, 1001+",0.12,,,,taip,
Kopijavimas ir spausdinimas,330,"A3 nespalvota INEO spausdinimas, vienpusis, 1–100",0.3,,,,taip,
Kopijavimas ir spausdinimas,331,"A3 nespalvota INEO spausdinimas, vienpusis, 101–500",0.25,,,,taip,
Kopijavimas ir spausdinimas,332,"A3 nespalvota INEO spausdinimas, vienpusis, 501–1000",0.2,,,,taip,
Kopijavimas ir spausdinimas,333,"A3 nespalvota INEO spausdinimas, vienpusis, 1001+",0.15,,,,taip,
Kopijavimas ir spausdinimas,340,"A3 nespalvota INEO spausdinimas, dvipusis, 1–100",0.5,,,,taip,
Kopijavimas ir spausdinimas,341,"A3 nespalvota INEO spausdinimas, dvipusis, 101–500",0.45,,,,taip,
Kopijavimas ir spausdinimas,342,"A3 nespalvota INEO spausdinimas, dvipusis, 501–1000",0.4,,,,taip,
Kopijavimas ir spausdinimas,343,"A3 nespalvota INEO spausdinimas, dvipusis, 1001+",0.25,,,,taip,
Kopijavimas ir spausdinimas,450,A4 nespalvota spausdinimas ant 90 gsm popieriaus,0.5,,,,taip,
Kopijavimas ir spausdinimas,451,A3 nespalvota spausdinimas ant 90 gsm popieriaus,0.8,,,,taip,
Kopijavimas ir spausdinimas,470,"Savitarna: A4 spalvotas spausdinimas, vienpusis",0.65,,,,taip,
Kopijavimas ir spausdinimas,471,"Savitarna: A4 spalvotas kopijavimas, vienpusis",0.65,,,,taip,
Kopijavimas ir spausdinimas,472,"Savitarna: A3 spalvotas spausdinimas, vienpusis",1.3,,,,taip,
Kopijavimas ir spausdinimas,473,"Savitarna: A3 spalvotas kopijavimas, vienpusis",1.3,,,,taip,
Kopijavimas ir spausdinimas,474,"Savitarna: A4 spalvotas spausdinimas, dvipusis",1.3,,,,taip,
Kopijavimas ir spausdinimas,475,"Savitarna: A4 spalvotas kopijavimas, dvipusis",1.3,,,,taip,
Kopijavimas ir spausdinimas,476,"Savitarna: A3 spalvotas spausdinimas, dvipusis",2.6,,,,taip,
Kopijavimas ir spausdinimas,477,"Savitarna: A3 spalvotas kopijavimas, dvipusis",2.6,,,,taip,
Kopijavimas ir spausdinimas,496,Spalvotas skenavimas 1 m²,6.5,,,,taip,
Kopijavimas ir spausdinimas,497,A0 spalvotas skenavimas,6.5,,,,taip,
Kopijavimas ir spausdinimas,498,A1 spalvotas skenavimas,3.5,,,,taip,
Kopijavimas ir spausdinimas,499,A2 spalvotas skenavimas,2,,,,taip,
Kopijavimas ir spausdinimas,510,"A4 spalvota spausdinimas, vienpusis, 1–10",0.95,,,,taip,
Kopijavimas ir spausdinimas,511,"A4 spalvota spausdinimas, vienpusis, 11–50",0.85,,,,taip,
Kopijavimas ir spausdinimas,512,"A4 spalvota spausdinimas, vienpusis, 51–100",0.75,,,,taip,
Kopijavimas ir spausdinimas,513,"A4 spalvota spausdinimas, vienpusis, 101–500",0.65,,,,taip,
Kopijavimas ir spausdinimas,520,"A4 spalvota spausdinimas, dvipusis, 1–10",1.65,,,,taip,
Kopijavimas ir spausdinimas,521,"A4 spalvota spausdinimas, dvipusis, 11–50",1.5,,,,taip,
Kopijavimas ir spausdinimas,522,"A4 spalvota spausdinimas, dvipusis, 51–100",1.3,,,,taip,
Kopijavimas ir spausdinimas,523,"A4 spalvota spausdinimas, dvipusis, 101–500",1.1,,,,taip,
Kopijavimas ir spausdinimas,530,"A3 spalvota spausdinimas, vienpusis, 1–10",1.6,,,,taip,
Kopijavimas ir spausdinimas,531,"A3 spalvota spausdinimas, vienpusis, 11–50",1.5,,,,taip,
Kopijavimas ir spausdinimas,532,"A3 spalvota spausdinimas, vienpusis, 51–100",1.35,,,,taip,
Kopijavimas ir spausdinimas,533,"A3 spalvota spausdinimas, vienpusis, 101–500",1.2,,,,taip,
Kopijavimas ir spausdinimas,540,"A3 spalvota spausdinimas, dvipusis, 1–10",2.9,,,,taip,
Kopijavimas ir spausdinimas,541,"A3 spalvota spausdinimas, dvipusis, 11–50",2.75,,,,taip,
Kopijavimas ir spausdinimas,542,"A3 spalvota spausdinimas, dvipusis, 51–100",2.5,,,,taip,
Kopijavimas ir spausdinimas,543,"A3 spalvota spausdinimas, dvipusis, 101–500",2,,,,taip,
